,Portfolio,Symbol,Num.Txns,Num.Trades,Net.Trading.PL,Avg.Trade.PL,Med.Trade.PL,Largest.Winner,Largest.Loser,Gross.Profits,Gross.Losses,Std.Dev.Trade.PL,Std.Err.Trade.PL,Percent.Positive,Percent.Negative,Profit.Factor,Avg.Win.Trade,Med.Win.Trade,Avg.Losing.Trade,Med.Losing.Trade,Avg.Daily.PL,Med.Daily.PL,Std.Dev.Daily.PL,Std.Err.Daily.PL,Ann.Sharpe,Max.Drawdown,Profit.To.Max.Draw,Avg.WinLoss.Ratio,Med.WinLoss.Ratio,Max.Equity,Min.Equity,End.Equity
HLA.AX,multipleSymbols,HLA.AX,2,1,0.9495,0.949500000000003,0.949500000000003,0.949500000000003,0,0.949500000000003,0,NA,NA,100,0,NA,0.949500000000003,0.949500000000003,NA,NA,0.949500000000003,0.949500000000003,NA,NA,NA,-3.01949999999999,0.314456035767512,NA,NA,2,-1.01949999999999,0.9495
HLS.AX,multipleSymbols,HLS.AX,6,3,18,5.99999999999999,3.00000000000002,14,0,18,0,6.99999999999998,4.04145188432737,100,0,NA,5.99999999999999,3.00000000000002,NA,NA,5.99999999999999,3.00000000000002,6.99999999999998,4.04145188432737,13.6067210283322,-59,0.305084745762712,NA,NA,56,-9,18
HPG.AX,multipleSymbols,HPG.AX,2,1,-38,-38,-38,0,-38,0,-38,NA,NA,0,100,0,NA,NA,-38,-38,-38,-38,NA,NA,NA,-38,-1,NA,NA,0,-38,-38
HPP.AX,multipleSymbols,HPP.AX,2,1,-8,-8,-8,0,-8,0,-8,NA,NA,0,100,0,NA,NA,-8,-8,-8,-8,NA,NA,NA,-8,-1,NA,NA,0,-8,-8
HRN.AX,multipleSymbols,HRN.AX,2,1,2,2,2,2,0,2,0,NA,NA,100,0,NA,2,2,NA,NA,2,2,NA,NA,NA,-18,0.111111111111111,NA,NA,5,-13,2
HRR.AX,multipleSymbols,HRR.AX,2,1,-5,-5,-5,0,-5,0,-5,NA,NA,0,100,0,NA,NA,-5,-5,-5,-5,NA,NA,NA,-8,-0.625,NA,NA,0.5,-7.5,-5
HSN.AX,multipleSymbols,HSN.AX,2,1,-12.9999999999999,-12.9999999999999,-12.9999999999999,0,-12.9999999999999,0,-12.9999999999999,NA,NA,0,100,0,NA,NA,-12.9999999999999,-12.9999999999999,-12.9999999999999,-12.9999999999999,NA,NA,NA,-33,-0.393939393939392,NA,NA,20.0000000000001,-12.9999999999999,-12.9999999999999
HT1.AX,multipleSymbols,HT1.AX,2,1,-15,-15,-15,0,-15,0,-15,NA,NA,0,100,0,NA,NA,-15,-15,-15,-15,NA,NA,NA,-32,-0.46875,NA,NA,14,-18,-15
HUM.AX,multipleSymbols,HUM.AX,4,2,-49,-24.5,-24.5,0,-25,0,-49,0.707106781186548,0.5,0,100,0,NA,NA,-24.5,-24.5,-24.5,-24.5,0.707106781186548,0.5,-550.023635855769,-55,-0.890909090909091,NA,NA,6,-49,-49
HVN.AX,multipleSymbols,HVN.AX,2,1,-35,-35.0000000000001,-35.0000000000001,0,-35.0000000000001,0,-35.0000000000001,NA,NA,0,100,0,NA,NA,-35.0000000000001,-35.0000000000001,-35.0000000000001,-35.0000000000001,NA,NA,NA,-45,-0.777777777777778,NA,NA,10,-35,-35
HZR.AX,multipleSymbols,HZR.AX,6,3,-25,-8.33333333333333,-3.49999999999999,0,-18.5,0,-25,8.80814017448254,5.08538210079745,0,100,0,NA,NA,-8.33333333333333,-3.49999999999999,-8.33333333333333,-3.49999999999999,8.80814017448254,5.08538210079745,-15.0187852296528,-43,-0.581395348837209,NA,NA,11,-32,-25
IAP.AX,multipleSymbols,IAP.AX,4,2,-19,-9.5,-9.5,0,-12,0,-19,3.53553390593273,2.49999999999999,0,100,0,NA,NA,-9.5,-9.5,-9.5,-9.5,3.53553390593273,2.49999999999999,-42.6548942092231,-19.5,-0.974358974358974,NA,NA,0,-19.5,-19
ICQ.AX,multipleSymbols,ICQ.AX,2,1,-2,-2,-2,0,-2,0,-2,NA,NA,0,100,0,NA,NA,-2,-2,-2,-2,NA,NA,NA,-4,-0.5,NA,NA,2,-4,-2
ICS.AX,multipleSymbols,ICS.AX,2,1,-1.5,-1.50000000000001,-1.50000000000001,0,-1.50000000000001,0,-1.50000000000001,NA,NA,0,100,0,NA,NA,-1.50000000000001,-1.50000000000001,-1.50000000000001,-1.50000000000001,NA,NA,NA,-6.5,-0.230769230769231,NA,NA,0,-6.5,-1.5
IDX.AX,multipleSymbols,IDX.AX,8,4,118.7015,29.675375,34.35075,47,0,118.7015,0,19.0900897211747,9.54504486058735,100,0,NA,29.675375,34.35075,NA,NA,29.675375,34.35075,19.0900897211747,9.54504486058735,24.6767815529424,-24,4.94589583333333,NA,NA,118.7015,-6.36859999999999,118.7015
