,Portfolio,Symbol,Num.Txns,Num.Trades,Net.Trading.PL,Avg.Trade.PL,Med.Trade.PL,Largest.Winner,Largest.Loser,Gross.Profits,Gross.Losses,Std.Dev.Trade.PL,Std.Err.Trade.PL,Percent.Positive,Percent.Negative,Profit.Factor,Avg.Win.Trade,Med.Win.Trade,Avg.Losing.Trade,Med.Losing.Trade,Avg.Daily.PL,Med.Daily.PL,Std.Dev.Daily.PL,Std.Err.Daily.PL,Ann.Sharpe,Max.Drawdown,Profit.To.Max.Draw,Avg.WinLoss.Ratio,Med.WinLoss.Ratio,Max.Equity,Min.Equity,End.Equity
MEM.AX,multipleSymbols,MEM.AX,2,1,-4,-4,-4,0,-4,0,-4,NA,NA,0,100,0,NA,NA,-4,-4,-4,-4,NA,NA,NA,-4.3,-0.930232558139535,NA,NA,0,-4.3,-4
MEP.AX,multipleSymbols,MEP.AX,14,7,-1312.3996,-187.485657142857,-0.299999999999999,65.9999999999989,-1376.9996,68.199999999999,-1380.5996,525.109102466674,198.472585186165,42.8571428571429,57.1428571428571,0.0493988264229534,22.733333333333,2,-345.1499,-1.65,-187.485657142857,-0.299999999999999,525.109102466674,198.472585186165,-5.66785554691087,-2595.9999,-0.50554686076837,0.0658651018972712,1.21212121212121,64.5999999999991,-2531.3999,-1312.3996
MEU.AX,multipleSymbols,MEU.AX,4,2,0.800000000000001,0.4,0.4,0.7,0,0.800000000000001,0,0.424264068711928,0.3,100,0,NA,0.4,0.4,NA,NA,0.4,0.4,0.424264068711928,0.3,14.9666295470958,-0.399999999999999,2,NA,NA,0.9,-0.0999999999999996,0.800000000000001
MEY.AX,multipleSymbols,MEY.AX,4,2,4,2,2,2.5,0,4,0,0.707106781186546,0.499999999999999,100,0,NA,2,2,NA,NA,2,2,0.707106781186546,0.499999999999999,44.8998886412874,-5.5,0.727272727272727,NA,NA,5.5,-1.5,4
MEZ.AX,multipleSymbols,MEZ.AX,2,1,-12,-12,-12,0,-12,0,-12,NA,NA,0,100,0,NA,NA,-12,-12,-12,-12,NA,NA,NA,-83,-0.144578313253012,NA,NA,43,-40,-12
MFD.AX,multipleSymbols,MFD.AX,6,3,-27.5,-9.16666666666666,-7.99999999999998,0,-17,0,-27.5,7.32006375199925,4.22624077770199,0,100,0,NA,NA,-9.16666666666666,-7.99999999999998,-9.16666666666666,-7.99999999999998,7.32006375199925,4.22624077770199,-19.8791058436901,-30.5,-0.901639344262295,NA,NA,3,-27.5,-27.5
MFF.AX,multipleSymbols,MFF.AX,6,3,56.8,18.9333333333333,2,59.8,-5.00000000000003,61.8,-5.00000000000003,35.5642142234766,20.5330086554417,66.6666666666667,33.3333333333333,12.3599999999999,30.9,30.9,-5.00000000000003,-5.00000000000003,18.9333333333333,2,35.5642142234766,20.5330086554417,8.45111738019321,-26,2.18461538461538,6.17999999999997,6.17999999999997,68.8,-10,56.8
MFG.AX,multipleSymbols,MFG.AX,6,3,197.000099999999,65.6666999999999,715.0002,834,-1352.0001,1549.0002,-1352.0001,1229.17639294232,709.665321346781,66.6666666666667,33.3333333333333,1.14571012235872,774.5001,774.5001,-1352.0001,-1352.0001,65.6666999999999,715.0002,1229.17639294232,709.665321346781,0.848069123109678,-1791,0.109994472361808,0.572855061179359,0.572855061179359,1988.0001,0,197.000099999999
MGR.AX,multipleSymbols,MGR.AX,12,6,15,2.50000000000001,-2.99999999999998,29,-10,36,-21,14.1668627437411,5.7835974963685,33.3333333333333,66.6666666666667,1.71428571428572,18,18,-5.25,-5,2.50000000000001,-2.99999999999998,14.1668627437411,5.7835974963685,2.8013449684548,-29,0.517241379310345,3.42857142857143,3.6,39,-9,15
MGT.AX,multipleSymbols,MGT.AX,4,2,3.1,1.55,1.55,1.8,0,3.1,0,0.353553390593274,0.25,100,0,NA,1.55,1.55,NA,NA,1.55,1.55,0.353553390593274,0.25,69.5948273939954,-1.8,1.72222222222222,NA,NA,4.8,-0.0999999999999999,3.1
